Date,Symbol,Open,High,Low,Close,Volume
2023-01-19T04:30:00.000Z,NRL,163.5,163.88999938964844,158.5,160.08999633789062,309935
2023-01-20T04:30:00.000Z,NRL,159.25,160.5,156.00999450683594,156.72000122070312,148477
2023-01-23T04:30:00.000Z,NRL,157.5,157.5,151.5,154.52999877929688,389399
2023-01-24T04:30:00.000Z,NRL,155,157,154.3000030517578,156.50999450683594,199468
2023-01-25T04:30:00.000Z,NRL,157,161.5,156.50999450683594,157.99000549316406,477785
2023-01-26T04:30:00.000Z,NRL,163.00999450683594,168,162,164.9499969482422,1754557
2023-01-27T04:30:00.000Z,NRL,166,166,158.25999450683594,159.0500030517578,585744
2023-01-30T04:30:00.000Z,NRL,158.25,162.3000030517578,156,158.91000366210938,846546
2023-01-31T04:30:00.000Z,NRL,160.72000122070312,161,157.6999969482422,158.9600067138672,283687
2023-02-01T04:30:00.000Z,NRL,159.35000610351562,161.1999969482422,157.89999389648438,158.5399932861328,297408
2023-02-02T04:30:00.000Z,NRL,159,159.2899932861328,157.25,158.64999389648438,140317
2023-02-03T04:30:00.000Z,NRL,158,159,156.5,156.7899932861328,113471
2023-02-06T04:30:00.000Z,NRL,157.00999450683594,161.60000610351562,156.6999969482422,161.11000061035156,298690
2023-02-07T04:30:00.000Z,NRL,162,162.5,158.30999755859375,159.19000244140625,348756
2023-02-08T04:30:00.000Z,NRL,159.97999572753906,161.6999969482422,158.5,159.36000061035156,245844
2023-02-09T04:30:00.000Z,NRL,159.99000549316406,164.39999389648438,159.52000427246094,162.32000732421875,1034446
2023-02-10T04:30:00.000Z,NRL,160,160,156,158.5399932861328,310799
2023-02-13T04:30:00.000Z,NRL,158.50999450683594,160,156,156.77000427246094,225328
2023-02-14T04:30:00.000Z,NRL,157,157.49000549316406,154.5,154.8699951171875,131525
2023-02-15T04:30:00.000Z,NRL,155.5,156.89999389648438,154.02000427246094,155.8699951171875,114676
2023-02-16T04:30:00.000Z,NRL,156.89999389648438,158.85000610351562,156,156.3000030517578,166829
2023-02-17T04:30:00.000Z,NRL,156.3000030517578,156.88999938964844,154.25,154.80999755859375,90350
2023-02-20T04:30:00.000Z,NRL,155,157.8000030517578,153,153.7899932861328,265956
2023-02-21T04:30:00.000Z,NRL,154.5,156,154,155.41000366210938,165381
2023-02-22T04:30:00.000Z,NRL,155.99000549316406,155.99000549316406,154,154.6699981689453,94312
2023-02-23T04:30:00.000Z,NRL,155,155,151.00999450683594,151.5800018310547,223686
2023-02-24T04:30:00.000Z,NRL,151.5,151.6199951171875,147,147.2100067138672,638944
2023-02-27T04:30:00.000Z,NRL,147.5,148.39999389648438,145.25,146.47000122070312,655025
2023-02-28T04:30:00.000Z,NRL,147.99000549316406,148.39999389648438,144.5,145.07000732421875,277266
2023-03-01T04:30:00.000Z,NRL,146,146,143.8000030517578,144.69000244140625,181447
2023-03-02T04:30:00.000Z,NRL,143.30999755859375,145.5,143.25,143.7899932861328,106279
2023-03-03T04:30:00.000Z,NRL,141.0500030517578,152.60000610351562,141.0500030517578,150.9499969482422,672440
2023-03-06T04:30:00.000Z,NRL,152.5,157.39999389648438,151.1999969482422,152.9600067138672,711873
2023-03-07T04:30:00.000Z,NRL,153,154.39999389648438,152,153.4600067138672,79717
2023-03-08T04:30:00.000Z,NRL,154,155.47000122070312,153.1199951171875,153.60000610351562,84694
2023-03-09T04:30:00.000Z,NRL,154.8800048828125,158.89999389648438,153.5500030517578,156.58999633789062,848805
2023-03-10T04:30:00.000Z,NRL,157.9499969482422,157.99000549316406,155,156.0800018310547,267409
2023-03-13T04:30:00.000Z,NRL,157,158,154.0500030517578,154.94000244140625,199641
2023-03-14T04:30:00.000Z,NRL,154,156,153.75,155,69684
2023-03-15T04:30:00.000Z,NRL,156,156,151.00999450683594,155.25999450683594,115313
2023-03-16T04:30:00.000Z,NRL,157.19000244140625,158.5,155.25,155.97000122070312,264315
2023-03-17T04:30:00.000Z,NRL,155.5,156.99000549316406,154,154.47000122070312,76749
2023-03-20T04:30:00.000Z,NRL,154.75,155.10000610351562,152,152.58999633789062,97124
2023-03-21T04:30:00.000Z,NRL,153,153.97999572753906,150.00999450683594,152.1999969482422,66544
2023-03-22T04:30:00.000Z,NRL,153.9499969482422,153.9499969482422,149.08999633789062,149.30999755859375,166200
2023-03-23T04:30:00.000Z,NRL,149.30999755859375,149.30999755859375,149.30999755859375,149.30999755859375,0
2023-03-24T04:30:00.000Z,NRL,150.69000244140625,150.69000244140625,147.00999450683594,148.00999450683594,72235
2023-03-27T04:30:00.000Z,NRL,147,149.9499969482422,147,149.27999877929688,224195
2023-03-28T04:30:00.000Z,NRL,150.10000610351562,151.3800048828125,146.02000427246094,150.14999389648438,91918
2023-03-29T04:30:00.000Z,NRL,152.3300018310547,152.3300018310547,149,149.39999389648438,171843
2023-03-30T04:30:00.000Z,NRL,150,150.75,149,149.4199981689453,117895
2023-03-31T04:30:00.000Z,NRL,147.10000610351562,150,147.10000610351562,148.25,41295
2023-04-03T04:30:00.000Z,NRL,149.7899932861328,150,147.11000061035156,149.60000610351562,89656
2023-04-04T04:30:00.000Z,NRL,150,150,148.75,149.44000244140625,59196
2023-04-05T04:30:00.000Z,NRL,150.14999389648438,151.3000030517578,148,149.38999938964844,20145
2023-04-06T04:30:00.000Z,NRL,149.5,151.99000549316406,147.5,151.44000244140625,51400
2023-04-07T04:30:00.000Z,NRL,151.6999969482422,153,149.00999450683594,149.4199981689453,37421
2023-04-10T04:30:00.000Z,NRL,151.89999389648438,151.89999389648438,149.5,150.55999755859375,27147
2023-04-11T04:30:00.000Z,NRL,150.5,150.5,149.39999389648438,149.8000030517578,14956
2023-04-12T04:30:00.000Z,NRL,149.02000427246094,150.75,149.02000427246094,149.55999755859375,39658
2023-04-13T04:30:00.000Z,NRL,149.97999572753906,151.35000610351562,149.00999450683594,150.0800018310547,20733
2023-04-14T04:30:00.000Z,NRL,150.0800018310547,150.0800018310547,150.0800018310547,150.0800018310547,0
