Date,Symbol,Open,High,Low,Close,Volume
2023-01-19T04:30:00.000Z,GLAXO,83.5,84.4000015258789,83.25,83.54000091552734,21700
2023-01-20T04:30:00.000Z,GLAXO,84.75,84.75,82.5,82.98999786376953,20600
2023-01-23T04:30:00.000Z,GLAXO,82.75,82.98999786376953,80.0999984741211,80.7300033569336,18100
2023-01-24T04:30:00.000Z,GLAXO,80,83.0199966430664,80,82,3300
2023-01-25T04:30:00.000Z,GLAXO,82,82,80.5,81.11000061035156,35500
2023-01-26T04:30:00.000Z,GLAXO,81,84.88999938964844,81,82.12999725341797,17500
2023-01-27T04:30:00.000Z,GLAXO,81.5,82.44999694824219,80.58999633789062,81.01000213623047,10800
2023-01-30T04:30:00.000Z,GLAXO,80.19999694824219,81.98999786376953,80,80.4000015258789,5000
2023-01-31T04:30:00.000Z,GLAXO,80.75,83.5,80.4000015258789,83.04000091552734,36600
2023-02-01T04:30:00.000Z,GLAXO,83.0999984741211,83.5,82.0999984741211,82.69000244140625,6800
2023-02-02T04:30:00.000Z,GLAXO,83.77999877929688,85,82.01000213623047,83.0199966430664,21700
2023-02-03T04:30:00.000Z,GLAXO,83.98999786376953,83.98999786376953,82.11000061035156,83.41000366210938,3300
2023-02-06T04:30:00.000Z,GLAXO,83.9000015258789,83.9000015258789,83.37000274658203,83.43000030517578,1400
2023-02-07T04:30:00.000Z,GLAXO,84.5,86.98999786376953,83.61000061035156,84.41999816894531,44200
2023-02-08T04:30:00.000Z,GLAXO,84,90.75,84,90.58999633789062,86300
2023-02-09T04:30:00.000Z,GLAXO,91.88999938964844,96,89,90.9000015258789,323800
2023-02-10T04:30:00.000Z,GLAXO,91.0999984741211,91.0999984741211,87.5,88.01000213623047,30100
2023-02-13T04:30:00.000Z,GLAXO,87.5,88.01000213623047,85.5,86.02999877929688,33400
2023-02-14T04:30:00.000Z,GLAXO,85.0999984741211,86,84.51000213623047,84.51000213623047,6100
2023-02-15T04:30:00.000Z,GLAXO,83.0199966430664,84.5,83,84.2699966430664,13900
2023-02-16T04:30:00.000Z,GLAXO,83.69999694824219,83.70999908447266,82.5,82.9800033569336,4900
2023-02-17T04:30:00.000Z,GLAXO,82.81999969482422,83.97000122070312,81.19999694824219,83,27000
2023-02-20T04:30:00.000Z,GLAXO,82.75,83,82.5,83,8300
2023-02-21T04:30:00.000Z,GLAXO,83.83000183105469,83.83000183105469,82.5999984741211,83.1500015258789,17500
2023-02-22T04:30:00.000Z,GLAXO,84.5,84.88999938964844,82,83.48999786376953,11000
2023-02-23T04:30:00.000Z,GLAXO,84.48999786376953,84.48999786376953,83.25,83.30000305175781,3900
2023-02-24T04:30:00.000Z,GLAXO,83,83.87000274658203,82,82.33000183105469,17600
2023-02-27T04:30:00.000Z,GLAXO,82.76000213623047,83.5,82.5,83.5,6400
